# Generated by James A. Foster when solving HW7. 
patientID	Week	Lactobacillus_crispatus	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Megasphaera_sp._type_1	Streptococcus_anginosus	Prevotella_genogroup_3	Clostridiales	Enterococcus_faecalis	Corynebacterium_accolens	Total	Shannon	Simpson
AYAC01	1	0.9821703863651465	0.0014534323249323798	0.0027877127558335944	0.0011694209192037953	0.00013815971262779773	0.0	5.059704513256426e-05	0.0	5.059704513256426e-05	0.0	0.012179693831990785	17641	0.11373557127699566	1.0364624501134778
AYAC01	10	0.0068624783133283355	0.09083066071402707	0.0	0.0004935591295593803	0.1986428057818413	0.647125291073039	0.0	0.0037224943884619846	0.027672122000144107	0.00014619883040935673	0.024504389769189464	5647	1.075108152405444	2.1371643054481275
AYAC02	1	0.6170524028401556	0.3484584575141817	0.0011216551908707622	0.033126064101108	3.671611102951975e-05	0.0	0.0	0.0	0.0	0.0	0.0002047042426544737	22232	0.7941827294307019	1.986974973862119
AYAC02	10	0.7333988006865912	0.21983289972211856	0.0025636991608604504	0.04204699693016033	5.257623554153522e-05	0.0	5.8976173625855154e-05	0.0	0.0	0.0008904265765028456	0.0011556245145992086	18694	0.7298029797716892	1.7007411235446126
AYAC03	1	0.0003261241405504222	0.2754027321072525	0.0	9.194556822361162e-05	0.2872533817567098	0.32264860711036925	0.0009119881308005637	0.08801520105087136	0.008911971667259804	8.272667107875579e-05	0.01635532179688401	11976	1.4165344257945858	3.696039996978016
AYAC03	10	0.597471590676198	0.3978851178301437	0.0016425842803616231	4.6869141357330336e-05	0.0	0.0	4.6869141357330336e-05	0.0	0.0	0.0	0.0029069689305820114	13323	0.7094196381886714	1.9406245668713484
AYAC04	1	0.8067342820135344	0.1814810678956043	0.0024459841798854885	0.008794881330730439	0.0	9.811616954474098e-05	0.0	0.0	0.00016005868688864582	0.0	0.000285609723811971	15363	0.5500924084185843	1.4623281684307194
AYAC04	10	0.9590004580686847	0.0006875011352637571	0.006293051709975302	0.033576169764729255	0.0	0.0	4.953437685753913e-05	0.0	4.953437685753913e-05	9.946290033817386e-05	0.0002442876672937047	20548	0.20135051983597738	1.0859515592699622
AYAC05	1	0.001431522173918475	0.6585190825432403	0.0004397915229447278	0.251992072597085	0.00045769794089773415	0.0	0.057035186423243706	0.0	0.0012438614629103127	0.002751572327044025	0.026129213008715735	13116	0.9265619023368208	1.9956227790426513
AYAC05	10	0.001016278131738788	0.8908539390416286	0.001782733791432882	0.1034102170091362	0.0006987349579942173	0.0	0.001895579795276645	0.0	0.00027393016716860136	0.0	6.858710562414266e-05	13421	0.3817031830055685	1.2432788564844082
AYAC06	1	0.0023206604981673273	0.008907776888270135	0.9573425975240912	0.0008762049562946825	0.0	0.0	0.030195169974770546	0.0	0.00018864295437059832	4.047272138578598e-05	0.00012847448264978004	19443	0.21898773254100334	1.0899133230058033
AYAC06	10	0.00016517101440505206	0.002393186148056277	0.9945758632528188	0.0	0.0	0.0	0.0019094693298083883	0.0	0.0	0.0	0.0009563102549113811	8830	0.04696243677223297	1.0109245940296745
AYAC07	1	0.007515506863381411	0.983115159645054	0.0016788064761987939	0.00480793162537849	0.0	0.0	0.002683091468987194	0.0	0.0	0.0	0.00019950392100006822	24123	0.11389858902032962	1.0345465366049165
AYAC07	10	0.9859977348074717	0.004330999082068058	0.000306611414350062	0.008550399440803758	0.0	0.0	0.0	0.0	0.0	3.931435760339676e-05	0.0007749408977030823	23140	0.09339230966633953	1.0285038571295886
AYAC08	1	0.16506798888914384	0.8321343649198191	0.0006691658980512862	6.91945751453086e-05	0.0	0.0	5.630630630630631e-05	0.0	6.351626016260163e-05	5.630630630630631e-05	0.0018831568450652597	16368	0.4758470772187598	1.3894658038266647
AYAC08	10	0.21157022854178198	0.7868819560545703	3.77814719661478e-05	3.77814719661478e-05	0.0	4.1757140471020544e-05	8.351428094204109e-05	0.0	0.00013561932471027786	0.0	0.0012113617135920231	22778	0.5352161331084135	1.5061405234445273
AYAC09	1	0.9991585601733877	0.0006270565928502671	0.0	0.0	0.0	4.3821209465381244e-05	4.437344692935747e-05	0.0	0.0	0.0	0.00012618857736738308	23716	0.01518878573032302	1.0016825849449595
AYAC09	10	0.9996962272407217	0.0001219204511256606	0.0	0.00012228984746485112	0.0	0.0	0.0	0.0	0.0	3.099429704934292e-05	2.856816363844132e-05	33042	0.010995004901269556	1.000605788390875
AYAC10	1	0.946014719054307	0.04454904356984675	3.120319520718922e-05	0.009024352863930673	0.0	0.0	0.0	0.0	0.0	0.0	0.0003806813167084145	30088	0.24375283436615863	1.114812224775003
AYAC10	10	0.38826015472454034	0.5658509721596662	0.0006705322520540219	0.04079252826569802	0.001276897308000097	0.0	9.89545869091011e-05	0.0	6.58288415798312e-05	0.0	0.002984131861552411	30047	0.8579552222512491	2.115908180306879
EM01	1	0.0	0.3281855630730778	0.0	0.0	0.6048946227894012	4.344803614876608e-05	0.0028055017980080613	0.06119567802711652	0.0025788619428213427	0.0	0.000296324333426293	24211	0.8811444477406856	2.094834013201257
EM01	10	0.00010904904861728945	0.6526636204172775	0.00039835708163010064	0.00013478301731802896	0.264691612427311	0.0	0.009145180159049453	0.04700446717093443	0.008546728211586092	4.315553253927153e-05	0.017263046933736734	18316	0.9381796816692256	2.0052225808272564
EM02	1	0.00046728971962616824	0.35547555468486214	0.00031152647975077883	0.0	0.2670380969875762	0.0208712621771413	0.0009345794392523365	0.32279535595259207	0.03103378638261993	0.0	0.0010725481765791213	11556	1.2982054816330526	3.2973689114292575
EM02	10	0.02378093366806013	0.937630457720467	0.002011005914337409	0.0	0.003206711968170196	0.021182306066026998	0.0005430420354048413	0.0007565816585741751	0.0	0.0003225806451612903	0.010566380323797966	17463	0.32709815567467093	1.1359840562489856
EM03	1	0.8131300851924574	0.18336668597322509	0.0033223970079159703	0.00018083182640144665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20238	0.5067142479539158	1.439227990730865
EM03	10	0.9237451713719892	0.07217155802955987	0.0033276641959959366	0.0005647889640959662	8.174154227159517e-05	0.0	5.511463844797178e-05	0.0	0.0	0.0	5.396125763949918e-05	32654	0.29465896479924913	1.1647853514160273
EM04	1	0.0005697031931142611	6.81448686196615e-05	0.0	0.9982669854788288	0.0	0.0	0.0005146560858019242	0.0	0.0	0.0	0.0005805103736354511	37251	0.022267914501085395	1.0034721084471498
EM04	10	3.668378576669112e-05	0.0	0.0003243256796589367	0.8505910191210159	0.0	0.0	0.14366599933231322	0.0	7.42831674342594e-05	0.0	0.005307688913811074	27587	0.4545777085225286	1.3437694323225073
EM05	1	0.0004502599023643175	6.109481915933529e-05	3.0547409579667644e-05	0.9992901602649432	0.0	0.0	0.0	0.0	0.0	0.0	0.0001679376039535241	28348	0.014262497638101074	1.0014189505516964
EM06	1	0.0002759381898454746	0.0012361842794145002	0.9981870917852658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003007857454743099	27462	0.022338648851285142	1.0036319785479009
EM06	10	3.249707526322631e-05	0.0004663054007538484	0.9992730340305498	3.2556322437817424e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00019560717099534677	30184	0.014373786110125549	1.0014532545134494
EM07	1	0.7515352531931908	0.2113663809847029	0.010619284653084498	0.025791982081304708	0.0003591355055426695	0.0	7.274746122049158e-05	0.0	0.0	0.0	0.0002552161209539754	27422	0.697298735890692	1.638642657923186
EM07	10	0.9705290967162188	0.010914229414783337	0.005310350904360417	0.013059596761257805	0.0	0.0	0.0	0.0	0.00015578177956484325	0.0	3.094442381482857e-05	32109	0.17104602816413572	1.0612932668501684
EM08	1	0.9979085983895055	5.0291691812512574e-05	3.8789759503491075e-05	0.00023283108705374986	0.0	0.0	0.0	0.0	0.0003366683255929998	0.0	0.0014328207465318344	21936	0.024373770859932004	1.004191701705117
EM08	10	0.9968344392706993	0.0015570791842603432	0.0	0.00011309045879971788	0.0	0.0	0.0	4.0637191157347205e-05	3.622663382118534e-05	3.622663382118534e-05	0.0013823006274409346	25336	0.03174175925936536	1.0063548778109022
EM09	1	0.9952215983860548	0.0	0.0	0.00412341092950381	0.0	0.0	0.00019164842949488306	0.0	0.0004633422549464529	0.0	0.0	21589	0.04004316421536342	1.0096061156256448
EM09	10	0.4143601896940541	0.56271503040721	0.016061021841688776	0.004246619529781358	0.0	0.0	0.00028968713789107763	0.0	4.138387684158252e-05	0.0003759919074343167	0.0019100756050987467	22347	0.801474900551342	2.0465615768197654
EM10	1	0.0005439680940400374	0.9982005109066078	0.00023753016288815236	0.0008300744642787399	0.0	0.0	0.0	0.0	0.0	0.0	0.00018791637218526183	24880	0.02274219733523611	1.0036056171252667
EM10	10	0.0008021236881913868	0.9931187120663919	0.0	0.0	0.0	0.0	0.00013396929835364952	0.0	3.62476439031463e-05	0.0001300046212016245	0.005778942681958292	25777	0.05224766620721548	1.013868862207363
EM11	1	0.9927175756810559	0.0009384567914688365	0.0	3.0189590629151068e-05	0.0	0.0	0.0	0.0	2.757555702625193e-05	3.0189590629151068e-05	0.006256012789190721	35123	0.05377750849656017	1.0146822429729578
EM11	10	0.9964737542564255	0.0006674207155508906	0.0	0.0013978226043725108	0.0	0.0	0.0	0.0	0.0	0.0	0.0014610024236510555	27741	0.034460797254789066	1.0070833440451157
EM12	1	0.0008527277646572293	0.3618642325795597	0.0	0.6369674773863374	0.0	0.0	0.0	0.0	0.00027914035802385317	3.642191142191142e-05	0.0	24283	0.6707280124880505	1.863321296733385
EM12	10	0.0	0.6917030349813488	0.0	0.30786303420614175	8.975789107956146e-05	0.0	0.0	0.0	0.0	4.056466006814863e-05	0.0003036082613617502	22969	0.6284473014669919	1.7444857380333236
EM13	1	0.0	0.026371484809580494	0.0	7.237984944991314e-05	0.6765759673840511	0.042263956695396954	0.0	0.011215995521135969	0.24340144055271284	0.0	9.877518767285657e-05	11586	0.8953515686283144	1.9245247144725417
EM13	10	0.0009644117659761053	0.22273518527149702	0.0	0.00011410314924691921	0.610004841470899	0.07885524555069427	0.0	0.0032747877494796224	0.08384566372533471	0.0	0.00020576131687242798	10974	1.0774657662656817	2.298962488495283
